titre,journal,date
"Couvre-feu : journal de Félix, épisode 96",Charlie Hebdo,2021-01-08
"Profs, l'Éducation nationale est là pour vous (ou pas)",Charlie Hebdo,2021-01-08
Comment Dieu vérole l'éducation : le monde sous catéchisme,Charlie Hebdo,2021-01-08
Université : « Des jeunes ne comprennent pas que l'on critique la religion »,Charlie Hebdo,2021-01-08
Parlement français : comment est-il protégé ?,Libération,2021-01-08
Attaque du Capitole : la police a-t-elle laissé entrer les manifestants ?,Libération,2021-01-08
"Capitole, le jour d'après",Libération,2021-01-08
"Trump appelle à la «réconciliation», 200 000 morts du Covid-19 au Brésil, 2020 année la plus chaude jamais enregistrée : l'essentiel de l'actualité de ce vendredi matin",Libération,2021-01-08
Le business de la Saint-Valentin ne fait pas de sentiment,Libération,2021-01-08
"Avec des bars et restos fermés, la quête désespérée de toilettes en ville",Libération,2021-01-08
Complotistes et extrême droite : les derniers relais français de Trump,Libération,2021-01-08
"Silence on joue ! «Alba», «Carto», «Super Meat Boy» et nos attentes pour 2021",Libération,2021-01-08
Gare à «l'état de connexion perpétuelle»,Libération,2021-01-08
Washington : un coup d’Etat populiste,Libération,2021-01-08
Affaire Ghosn : l'ex-secrétaire générale de Renault convoquée par la justice,Libération,2021-01-08
"2020 décroche la première place de l'année la plus chaude, ex-æquo avec 2016",Libération,2021-01-08
"Vaccination : le cabinet McKinsey, qui conseille le gouvernement, est-il en situation de conflit d’intérêts ?",Libération,2021-01-08
Roselyne Bachelot dit non à CNews mais oui à l'argent de Canal+,Libération,2021-01-08
Patrick Balkany placé en garde à vue dans une nouvelle affaire judiciaire,Libération,2021-01-08
La campagne de vaccination est-elle menacée par une pénurie de seringues ?,Libération,2021-01-08
«Ces actions insurrectionnelles auraient peut-être eu une autre issue si le clan Trump s’était révélé plus compétent pour les exploiter»,Libération,2021-01-08
"Avec le «faked baking», la bouffe aussi a ses fake news",Libération,2021-01-08
«Femmes de réconfort» : la justice sud-coréenne réclame au Japon de dédommager les victimes,Libération,2021-01-08
"Au Mali, l'armée française admet une frappe mais exclut des «dommages collatéraux»",Libération,2021-01-08
Comment Paris peut soutenir la préservation de l’histoire et de la culture LGBTQI,Libération,2021-01-08
"Face au Covid-19, finalement, il serait plus risqué d'être fumeur",Libération,2021-01-08
"Pour entrer en Angleterre et en Ecosse, un test négatif au Covid-19 bientôt obligatoire",Libération,2021-01-08
"Coronavirus en Europe : une seconde vague plus dévastatrice, qui a largement contaminé l'Est",Libération,2021-01-08
L'humiliation des précaires,Libération,2021-01-08
"En Australie, un cas de variant «anglais» détecté et Brisbane se reconfine",Libération,2021-01-08
"Josu Urrutikoetxea, deux Etats aux basques",Libération,2021-01-08
Au volant avec Julien Gracq,Libération,2021-01-08
"Fish and chips, de la friture sur la ligne",Libération,2021-01-08
"Chamailleries et Shoah : Yasmina Reza, une fratrie en terrain casse-gueule",Libération,2021-01-08
Classement datalib des meilleures ventes de livres (semaine du 01 au 07/01/2021),Libération,2021-01-08
Vient de paraitre,Libération,2021-01-08
Le voisin était presque parfait,Libération,2021-01-08
Sur la plage empoisonnée,Libération,2021-01-08
«Loin du soleil» exactement,Libération,2021-01-08
Ne pas confondre :  New order,Libération,2021-01-08
"Les filiations d’«Inside Story» : Martin Amis, à tombeau ouvert",Libération,2021-01-08
Ingrid Astier : «Je vis sous perfusion musicale»,Libération,2021-01-08
"Kas:st, cas de conscience",Libération,2021-01-08
«Sortir Souchon des années 70»,Libération,2021-01-08
"Peur bleue, ils défendent leur couleur",Libération,2021-01-08
Playlist,Libération,2021-01-08
