titre,journal,date
États-Unis : la nation des libres penseurs,Charlie Hebdo,2021-01-14
D-Day Minus 7… Tout le monde balise,Charlie Hebdo,2021-01-14
Affaire Duhamel : qui couche avec qui ?,Charlie Hebdo,2021-01-14
Europacity est enterré mais les bétonneurs bougent encore,Charlie Hebdo,2021-01-14
Greenpeace en campagne contre la prolongation à cinquante ans des réacteurs d'EDF,Libération,2021-01-14
"Affaire Boulin : Monsieur le juge, gardez vos convictions pour vous",Libération,2021-01-14
Tensions sur les vaccins : l’UE a-t-elle misé sur les mauvais chevaux ?,Libération,2021-01-14
"Après l'attaque du Capitole, la mobilisation inédite des internautes pour identifier les assaillants",Libération,2021-01-14
"Vaccination des plus de 75 ans : à Nancy, une «première étape pour retrouver la vie d’avant»",Libération,2021-01-14
"Nouvelles mesures contre le Covid attendues, variants du coronavirus, «impeachment» de Trump... l'actu de ce jeudi matin",Libération,2021-01-14
"«Les Ames sous les néons», saccadé comme une mitraillette",Libération,2021-01-14
Le sondeur BVA revient dans les mains de ses actionnaires historiques,Libération,2021-01-14
«De la lucidité politique et un peu de courage»,Libération,2021-01-14
Suicide des agriculteurs : des élus veulent pallier les insuffisances,Libération,2021-01-14
Covid-19 : comment le variant britannique est-il détecté en France ?,Libération,2021-01-14
Culture : Madrid fait la fête au Covid,Libération,2021-01-14
La Chine enregistre son premier premier décès dû au coronavirus depuis huit mois,Libération,2021-01-14
François Ruffin confirme qu’il ne sera pas candidat en 2022,Libération,2021-01-14
Le gouvernement durcit sa guerre contre l'apéro,Libération,2021-01-14
"Apéro avant le couvre-feu : «Au bout d’un moment, ça devient vital»",Libération,2021-01-14
Le nouveau patron cost-killer du losange promet une «Renaulution»,Libération,2021-01-14
Présidentielle 2022 : les bons conseils de Borloo aux ténors de la droite,Libération,2021-01-14
"Non, l'homme qui aurait «fouillé l'ordinateur de Nancy Pelosi» au Capitole n'a pas été retrouvé mort",Libération,2021-01-14
"A Malicounda, village natal de l'étudiante Diary Sow, on ne «croit pas une seconde» à une disparition volontaire",Libération,2021-01-14
"Des vaccins anti-Covid «sûrs et halal», tranchent les autorités religieuses musulmanes",Libération,2021-01-14
"Donner des cours à distance, une visio d’horreur",Libération,2021-01-14
